Output for:
-------------------------------------------------------------------------
good.txt
Enter review filename (good.txt, bad.txt, review.txt): good.txt
Word            Current Score  Accumulated Score
the             0.000           -0.370
fritz           0.000           -0.370
its             0.000           -0.370
not             0.000           -0.370
working         0.110           -0.260
at              0.000           -0.260
all             0.000           -0.260
and             0.000           -0.260
its             0.000           -0.260
basically       -0.640          -0.900
brand           0.410           -0.490
new             -0.170          -0.660
buy             0.110           -0.550
everything      0.180           -0.370
but             0.000           -0.370
the             0.000           -0.370
scale           0.170           -0.200
i               0.000           -0.200
dont            0.000           -0.200
know            0.000           -0.200
how             0.000           -0.200
to              0.000           -0.200
return          0.510           0.310
it              0.000           0.310
unless          -0.050          0.260
i               0.000           0.260
send            0.210           0.470
it              0.000           0.470
all             0.000           0.470
back            0.000           0.470
trimming        0.000           0.470
these           -0.850          -0.380
was             0.000           -0.380
more            0.000           -0.380
work            0.400           0.020
than            0.000           0.020
it              0.000           0.020
was             0.000           0.020
worth           0.280           0.300
ive             0.000           0.300
had             0.000           0.300
the             0.000           0.300
custom          0.000           0.300
orthotic        0.000           0.300
inserts         0.000           0.300
where           0.000           0.300
you             0.000           0.300
stand           0.010           0.310
on              0.000           0.310
the             0.000           0.310
machine         -0.130          0.180
and             0.000           0.180
get             0.000           0.180
your            0.000           0.180
number          -0.030          0.150
and             0.000           0.150
those           -0.380          -0.230
were            0.000           -0.230
significantly   0.330           0.100
better          0.060           0.160
and             0.000           0.160
obviously       -0.210          -0.050
more            0.000           -0.050
expensive       -0.450          -0.500
i               0.000           -0.500
figured         -0.300          -0.800
since           0.240           -0.560
these           -0.850          -1.410
are             0.000           -1.410
made            -0.390          -1.800
by              0.000           -1.800
the             0.000           -1.800
same            -0.340          -2.140
people          0.000           -2.140
they            0.000           -2.140
should          0.000           -2.140
be              0.000           -2.140
equally         -0.270          -2.410
simple          0.810           -1.600
and             0.000           -1.600
comfortable     2.220           0.620
but             0.000           0.620
they            0.000           0.620
were            0.000           0.620
not             0.000           0.620

Total Sentiment Score for bad.txt:  0.62
Star Rating for bad.txt: 3

-------------------------------------------------------------------------

review.txt
Enter review filename (good.txt, bad.txt, review.txt): review.txt
Word            Current Score  Accumulated Score
which           0.000           0.000
takes           0.030           0.030
multiple        -0.350          -0.320
delimeters      0.000           -0.320
when            0.000           -0.320
you             0.000           -0.320
use             0.100           -0.220
strtok          0.000           -0.220
you             0.000           -0.220
only            0.000           -0.220
need            0.020           -0.200
to              0.000           -0.200
pass            0.080           -0.120
it              0.000           -0.120
the             0.000           -0.120
address         -0.040          -0.160
of              0.000           -0.160
your            0.000           -0.160
buffer          0.000           -0.160
the             0.000           -0.160
first           0.000           -0.160
time            0.000           -0.160
after           0.000           -0.160
that            0.000           -0.160
just            0.000           -0.160
pass            0.080           -0.080
in              0.000           -0.080
a               0.000           -0.080
null            0.000           -0.080
and             0.000           -0.080
it              0.000           -0.080
will            0.000           -0.080
give            0.130           0.050
you             0.000           0.050
the             0.000           0.050
next            0.170           0.220
token           0.000           0.220
from            0.000           0.220
the             0.000           0.220
last            0.520           0.740
one             0.000           0.740
it              0.000           0.740
gave            -0.160          0.580
you             0.000           0.580
returning       -0.110          0.470
a               0.000           0.470
null            0.000           0.470
pointer         0.000           0.470
when            0.000           0.470
there           0.000           0.470
are             0.000           0.470
no              0.000           0.470
more            0.000           0.470

Total Sentiment Score for review.txt:  0.47
Star Rating for review.txt: 3
